keyword,service_category,service_subcategory,intent,location_tag,luxury_tag,b2b_tag,startup_tag,avg_monthly_searches,competition_index,cpc,ctr,clicks,cost,est_clicks_from_volume,est_spend_at_top_bid,opportunity_score_z
branding agencies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,2400.0,32.0,6.332361111111111,0.045,108.0,683.895,108.0,685.8,4.624883136706295
creative agency,Brand Management,Creative Fulfillment,High (Commercial),,0.0,0.0,0.0,3600.0,34.0,5.1205,0.045,162.0,829.521,162.0,831.06,7.506165437219995
rebranding agency,Branding/Rebranding,Rebrand,High (Commercial),,0.0,0.0,0.0,110.0,11.0,7.44,0.045,4.95,36.828,4.95,39.204,0.4569795081615302
luxury branding agency,Digital Experiences,UX/UI Design,High (Commercial),,1.0,0.0,0.0,170.0,27.0,3.852745098039215,0.045,7.649999999999999,29.4735,7.649999999999999,30.6765,0.6234317753824541
rebranding companies,Branding/Rebranding,Rebrand,High (Commercial),,0.0,0.0,0.0,170.0,19.0,8.003333333333334,0.045,7.649999999999999,61.2255,7.649999999999999,63.7245,-0.02955716419867072
design agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,3600.0,24.0,4.022537037037037,0.045,162.0,651.6510000000001,162.0,652.86,8.387624281073853
brand strategy company,Brand Consulting,Brand Strategy,High (Commercial),,0.0,0.0,0.0,40.0,5.0,5.158333333333334,0.045,1.8,9.285,1.8,11.142,1.26833613622242
brand design agencies,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,480.0,18.0,5.147499999999999,0.045,21.6,111.186,21.6,112.752,1.490207452546053
digital design agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,320.0,17.0,4.23,0.045,14.4,60.912,14.4,62.208,1.440356081315787
branding company,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,590.0,28.0,5.21045197740113,0.045,26.55,138.3375,26.55,139.9185,1.133111317962225
brand identity company,Branding/Rebranding,Identity & Guidelines,High (Commercial),,0.0,0.0,0.0,20.0,22.0,2.339999999999999,0.045,0.8999999999999999,2.105999999999999,0.8999999999999999,3.158999999999999,0.9905687952186231
graphic design agency,Brand Management,Graphic/Visual Design,High (Commercial),,0.0,0.0,0.0,1300.0,21.0,4.735589743589744,0.045,58.5,277.032,58.5,278.46,3.251143759468095
brand creation agency,Other/Generic,General Branding/Marketing,High (Commercial),,0.0,0.0,0.0,320.0,11.0,6.393958333333334,0.045,14.4,92.073,14.4,94.032,1.20690337347479
